geoid_co,tech_employment_all_estimate,share_tech,name,name_co
27001,30,0.00491803278688525,White,"Aitkin County, MN"
27007,263,0.0124656365532278,Native American and Alaska Native,"Beltrami County, MN"
27011,11,0.0047068891741549,White,"Big Stone County, MN"
27015,116,0.00858369098712446,White,"Brown County, MN"
27035,532,0.0172424969209827,White,"Crow Wing County, MN"
27041,320,0.0164473684210526,White,"Douglas County, MN"
27049,431,0.0177220394736842,White,"Goodhue County, MN"
27051,17,0.00579216354344123,White,"Grant County, MN"
27057,94,0.00971074380165289,White,"Hubbard County, MN"
27063,70,0.0135922330097087,White,"Jackson County, MN"
27065,92,0.011963589076723,White,"Kanabec County, MN"
